x,y,group,side,descri
5.481596426951533,12.292330719272478,21.0,1.0,cercle 3pts
5.394472158440518,12.04601192272615,21.0,1.0,cercle 3pts
5.3104562508971505,11.798615651583535,21.0,1.0,cercle 3pts
5.229562024634436,11.550181129318688,21.0,1.0,cercle 3pts
5.151802305038036,11.300747744015325,21.0,1.0,cercle 3pts
5.077189420532818,11.050355042122035,21.0,1.0,cercle 3pts
5.005735200628294,10.7990427221824,21.0,1.0,cercle 3pts
4.937450974043067,10.546850628540938,21.0,1.0,cercle 3pts
4.872347566908747,10.293818745026007,21.0,1.0,cercle 3pts
4.810435301053506,10.039987188610585,21.0,1.0,cercle 3pts
4.751723992365601,9.785396203051864,21.0,1.0,cercle 3pts
4.696222949237132,9.530086152510846,21.0,1.0,cercle 3pts
4.643940971088206,9.274097515152766,21.0,1.0,cercle 3pts
4.594886346971872,9.017470876729528,21.0,1.0,cercle 3pts
4.549066854259905,8.760246924144967,21.0,1.0,cercle 3pts
4.506489757409749,8.502466439004174,21.0,1.0,cercle 3pts
4.467161806812776,8.244170291147787,21.0,1.0,cercle 3pts
4.431089237724041,7.985399432172236,21.0,1.0,cercle 3pts
4.398277769273712,7.726194888937092,21.0,1.0,cercle 3pts
4.368732603560328,7.466597757060448,21.0,1.0,cercle 3pts
4.342458424826049,7.20664919440344,21.0,1.0,cercle 3pts
4.319459398713956,6.946390414544812,21.0,1.0,cercle 3pts
4.299739171607651,6.68586268024674,21.0,1.0,cercle 3pts
4.283300870053111,6.4251072969128415,21.0,1.0,cercle 3pts
4.270147100262996,6.164165606039354,21.0,1.0,cercle 3pts
4.260279947703452,5.903078978660676,21.0,1.0,cercle 3pts
4.253700976763469,5.641888808790173,21.0,1.0,cercle 3pts
4.250411230506856,5.3806365068574,21.0,1.0,cercle 3pts
4.417074594117242,5.379587217645693,21.0,1.0,cercle 3pts
4.420337916709144,5.63874110751475,21.0,1.0,cercle 3pts
4.4268640445090455,5.897833364374245,21.0,1.0,cercle 3pts
4.4366519428311655,6.156822910408516,21.0,1.0,cercle 3pts
4.449700059851882,6.415668684086233,21.0,1.0,cercle 3pts
4.4660063268557835,6.6743296466704605,21.0,1.0,cercle 3pts
4.485568158563645,6.932764788725175,21.0,1.0,cercle 3pts
4.508382453542307,7.190933136617066,21.0,1.0,cercle 3pts
4.53444559469639,7.448793759011771,21.0,1.0,cercle 3pts
4.563753449841794,7.706305773363301,21.0,1.0,cercle 3pts
4.596301372360795,7.963428352395752,21.0,1.0,cercle 3pts
4.632084201938778,8.220120730576319,21.0,1.0,cercle 3pts
4.6710962653823636,8.476342210578437,21.0,1.0,cercle 3pts
4.7133313775188626,8.732052169734164,21.0,1.0,cercle 3pts
4.75878284217692,8.987210066474672,21.0,1.0,cercle 3pts
4.8074434532481405,9.241775446757964,21.0,1.0,cercle 3pts
